date,open,low,high,close,volume
2025-02-02 21:45:00,155.593,155.463,155.595,155.539,5295
2025-02-02 21:30:00,155.762,155.577,155.799,155.593,4665
2025-02-02 21:15:00,155.811,155.72,155.846,155.762,5100
2025-02-02 21:00:00,155.7,155.699,155.87,155.811,6867
2025-02-02 20:45:00,155.67,155.646,155.789,155.7,5634
2025-02-02 20:30:00,155.779,155.643,155.802,155.67,4858
2025-02-02 20:15:00,155.813,155.698,155.861,155.779,7692
2025-02-02 20:00:00,155.698,155.641,155.88,155.813,9277
2025-02-02 19:45:00,155.766,155.598,155.792,155.698,9810
2025-02-02 19:30:00,155.52,155.48,155.798,155.766,8999
2025-02-02 19:15:00,155.501,155.427,155.674,155.52,11668
2025-02-02 19:00:00,155.342,155.342,155.569,155.501,11430
2025-02-02 18:45:00,155.364,155.096,155.427,155.342,8673
2025-02-02 18:30:00,155.356,155.298,155.429,155.364,6076
2025-02-02 18:15:00,155.285,155.218,155.435,155.356,8403
2025-02-02 18:00:00,155.007,154.892,155.354,155.285,10796
2025-02-02 17:45:00,154.964,154.89,155.048,155.007,1247
2025-02-02 17:30:00,155.033,154.873,155.033,154.964,173
2025-02-02 17:15:00,154.956,154.956,155.08,155.033,53
2025-02-10 22:45:00,151.965,151.953,151.967,151.966,490
2025-02-10 22:30:00,152.02,151.95,152.024,151.965,2603
2025-02-10 22:15:00,151.967,151.965,152.043,152.02,2326
2025-02-10 22:00:00,151.966,151.912,152.003,151.967,2797
2025-02-10 21:45:00,151.972,151.917,151.995,151.966,2706
2025-02-10 21:30:00,151.963,151.925,151.982,151.972,2561
2025-02-10 21:15:00,152.015,151.932,152.033,151.963,2657
2025-02-10 21:00:00,152.011,151.956,152.024,152.015,2642
2025-02-10 20:45:00,151.931,151.93,152.015,152.011,2775
2025-02-10 20:30:00,152.003,151.927,152.016,151.931,4034
2025-02-10 20:15:00,151.875,151.872,152.051,152.003,4603
2025-02-10 20:00:00,151.8,151.794,151.892,151.875,3537
2025-02-10 19:45:00,151.776,151.739,151.837,151.8,3456
2025-02-10 19:30:00,151.829,151.776,151.862,151.776,2475
2025-02-10 19:15:00,151.715,151.714,151.885,151.829,2581
2025-02-10 19:00:00,151.784,151.681,151.793,151.715,2878
2025-02-10 18:45:00,151.806,151.75,151.833,151.784,1690
2025-02-10 18:30:00,151.852,151.805,151.894,151.806,1170
2025-02-10 18:15:00,151.932,151.837,151.948,151.852,1036
2025-02-10 18:00:00,151.872,151.872,151.955,151.932,1502
2025-02-10 17:45:00,151.902,151.872,151.914,151.872,634
2025-02-10 17:30:00,151.939,151.894,151.945,151.902,753
2025-02-10 17:15:00,151.934,151.922,151.952,151.939,34
2025-02-10 17:00:00,151.99,151.934,151.99,151.934,6
2025-02-10 16:45:00,151.975,151.959,152.004,151.99,1291
2025-02-10 16:30:00,151.972,151.963,151.986,151.975,2187
2025-02-10 16:15:00,151.943,151.934,151.986,151.972,1299
2025-02-10 16:00:00,151.945,151.915,151.96,151.943,979
2025-02-10 15:45:00,152.001,151.944,152.025,151.945,1630
2025-02-10 15:30:00,152.016,151.997,152.026,152.001,1671
2025-02-10 15:15:00,151.999,151.992,152.026,152.016,2167
2025-02-10 15:00:00,151.972,151.965,152.02,151.999,1968
2025-02-10 14:45:00,151.958,151.946,151.993,151.972,2615
2025-02-10 14:30:00,152.048,151.957,152.056,151.958,2203
2025-02-10 14:15:00,152.026,152.012,152.049,152.048,1790
2025-02-10 14:00:00,152.034,152.0,152.047,152.026,2591
2025-02-10 13:45:00,151.992,151.984,152.07,152.034,2182
2025-02-10 13:30:00,151.946,151.929,152.003,151.992,2558
2025-02-10 13:15:00,151.917,151.897,151.961,151.946,2232
2025-02-10 13:00:00,151.863,151.855,151.954,151.917,2898
2025-02-10 12:45:00,151.863,151.843,151.919,151.863,2523
2025-02-10 12:30:00,151.762,151.761,151.863,151.863,2223
2025-02-10 12:15:00,151.775,151.735,151.795,151.762,3249
2025-02-10 12:00:00,151.717,151.704,151.776,151.775,2750
2025-02-10 11:45:00,151.747,151.712,151.787,151.717,3082
2025-02-10 11:30:00,151.657,151.639,151.757,151.747,2949
2025-02-10 11:15:00,151.683,151.647,151.731,151.657,4511
2025-02-10 11:00:00,151.606,151.569,151.684,151.683,4450
2025-02-10 10:45:00,151.616,151.593,151.682,151.606,4863
2025-02-10 10:30:00,151.629,151.569,151.688,151.616,4391
2025-02-10 10:15:00,151.608,151.607,151.691,151.629,5359
2025-02-10 10:00:00,151.634,151.568,151.649,151.608,4562
2025-02-10 09:45:00,151.692,151.582,151.693,151.634,4890
2025-02-10 09:30:00,151.765,151.634,151.788,151.692,6633
2025-02-10 09:15:00,151.748,151.693,151.798,151.765,5047
2025-02-10 09:00:00,151.861,151.748,151.861,151.748,4914
2025-02-10 08:45:00,151.935,151.801,151.942,151.861,4459
2025-02-10 08:30:00,151.953,151.868,151.966,151.935,5033
2025-02-10 08:15:00,151.964,151.936,152.022,151.953,4461
2025-02-10 08:00:00,152.061,151.954,152.081,151.964,4310
2025-02-10 07:45:00,152.087,152.027,152.09,152.061,3539
2025-02-10 07:30:00,152.218,152.066,152.218,152.087,3139
2025-02-10 07:15:00,152.222,152.173,152.241,152.218,2973
2025-02-10 07:00:00,152.116,152.05,152.239,152.222,4499
